district;rooms;area_m2;lift;prices
Eixample;3;351;Yes;2300000
Sarrià-Sant Gervasi;5;298;Yes;1750000
Eixample;2;90;Yes;590000
Eixample;2;130;Yes;450000
Horta-Guinardó;3;110;No;430000
Eixample;5;161;Yes;690000
Eixample;2;110;No;395000
Eixample;3;106;Yes;595000
Les Corts;2;62;Yes;450000
Ciutat Vella;5;152;Yes;665000
Horta-Guinardó;3;83;Yes;270000
Eixample;2;80;Yes;690000
Eixample;2;80;Yes;630000
Sarrià-Sant Gervasi;3;132;Yes;790000
Sant Martí;1;41;No;177000
Les Corts;2;80;Yes;375000
Sarrià-Sant Gervasi;5;170;Yes;950000
Les Corts;3;110;Yes;800000
Sants-Montjuïc;3;65;No;169000
Ciutat Vella;3;194;Yes;840000
Gràcia;3;79;No;329000
Sant Martí;3;168;Yes;1090000
Sant Andreu;2;64;Yes;185000
Sant Martí;3;130;Yes;695000
Sant Martí;3;111;Yes;586000
Sant Martí;4;83;Yes;239000
Eixample;3;120;Yes;790000
Eixample;5;181;Yes;995000
Eixample;4;94;Yes;420000
Sant Martí;3;195;Yes;640000
Ciutat Vella;2;108;Yes;649000
Sarrià-Sant Gervasi;4;169;Yes;775000
Sant Martí;4;93;Yes;340000
Eixample;4;140;Yes;495000
Sant Martí;4;102;Yes;345000
Ciutat Vella;3;174;Yes;950000
Sants-Montjuïc;4;239;No;690000
Eixample;3;153;Yes;1495000
Ciutat Vella;3;144;Yes;650000
Eixample;4;124;Yes;530000
Sarrià-Sant Gervasi;3;115;Yes;660000
Eixample;3;131;Yes;560000
Eixample;2;100;Yes;800000
Eixample;3;115;Yes;990000
Sarrià-Sant Gervasi;5;277;Yes;1900000
Gràcia;3;104;Yes;470000
Sant Martí;2;71;Yes;370000
Sants-Montjuïc;4;228;Yes;650000
Sarrià-Sant Gervasi;3;160;Yes;880000
Sarrià-Sant Gervasi;5;380;No;1750000
Sarrià-Sant Gervasi;6;585;No;2350000
Eixample;7;271;Yes;1800000
Eixample;2;82;Yes;380000
Eixample;3;175;Yes;1600000
Ciutat Vella;2;84;Yes;475000
Eixample;1;63;Yes;335000
Eixample;4;189;Yes;1175000
Sarrià-Sant Gervasi;3;150;Yes;780000
Horta-Guinardó;3;50;Yes;135000
Les Corts;3;130;Yes;530000
Eixample;3;223;Yes;1995000
Eixample;3;153;Yes;1495000
Eixample;3;85;Yes;339000
Sarrià-Sant Gervasi;5;160;Yes;850000
Eixample;2;120;Yes;575000
Les Corts;4;206;Yes;1250000
Sarrià-Sant Gervasi;4;232;Yes;1175000
Sarrià-Sant Gervasi;4;203;Yes;1095000
Eixample;1;59;Yes;480000
Eixample;4;167;Yes;695000
Les Corts;5;232;Yes;1660000
Eixample;4;800;Yes;1700000
Ciutat Vella;2;86;No;298000
Sarrià-Sant Gervasi;4;105;Yes;425000
Ciutat Vella;3;145;Yes;680000
Sarrià-Sant Gervasi;5;155;Yes;875000
Eixample;3;148;Yes;995000
Eixample;4;102;Yes;440000
Sarrià-Sant Gervasi;5;250;Yes;1100000
Eixample;2;101;Yes;625000
Les Corts;3;100;Yes;385000
Ciutat Vella;2;88;Yes;710000
Eixample;1;77;Yes;260000
Eixample;3;87;Yes;399000
Sant Martí;1;60;Yes;179000
Sarrià-Sant Gervasi;4;243;No;650000
Eixample;3;118;Yes;445000
Sarrià-Sant Gervasi;5;311;No;960000
Sarrià-Sant Gervasi;3;118;Yes;795000
Eixample;3;72;Yes;450000
Ciutat Vella;3;68;No;233150
Eixample;3;87;Yes;365000
Eixample;2;90;Yes;690000
Sarrià-Sant Gervasi;5;380;No;830000
Sarrià-Sant Gervasi;4;225;Yes;1100000
Sant Martí;3;94;Yes;359000
Sarrià-Sant Gervasi;6;296;No;1350000
