Unix;Date;Close
1,68653E+12;12/06/2023;25905.19
1,68644E+12;11/06/2023;25925.55
1,68636E+12;10/06/2023;25841.21
1,68627E+12;09/06/2023;26477.81
1,68618E+12;08/06/2023;26498.61
1,6861E+12;07/06/2023;26339.34
1,68601E+12;06/06/2023;27230.08
1,68592E+12;05/06/2023;25728.2
1,68584E+12;04/06/2023;27115.21
1,68575E+12;03/06/2023;27069.22
1,68566E+12;02/06/2023;27242.59
1,68558E+12;01/06/2023;26817.93
1,68549E+12;31/05/2023;27210.35
1,6854E+12;30/05/2023;27694.4
1,68532E+12;29/05/2023;27736.4
1,68523E+12;28/05/2023;28065.0
1,68515E+12;27/05/2023;26854.27
1,68506E+12;26/05/2023;26705.92
1,68497E+12;25/05/2023;26473.79
1,68489E+12;24/05/2023;26329.01
1,6848E+12;23/05/2023;27219.61
1,68471E+12;22/05/2023;26849.27
1,68463E+12;21/05/2023;26747.78
1,68454E+12;20/05/2023;27102.43
1,68445E+12;19/05/2023;26880.26
1,68437E+12;18/05/2023;26821.28
1,68428E+12;17/05/2023;27405.61
1,6842E+12;16/05/2023;27033.84
1,68411E+12;15/05/2023;27162.14
1,68402E+12;14/05/2023;26917.62
1,68394E+12;13/05/2023;26775.28
1,68385E+12;12/05/2023;26795.01
1,68376E+12;11/05/2023;26968.62
1,68368E+12;10/05/2023;27598.75
1,68359E+12;09/05/2023;27628.27
1,6835E+12;08/05/2023;27668.79
1,68342E+12;07/05/2023;28430.1
1,68333E+12;06/05/2023;28848.2
1,68324E+12;05/05/2023;29505.61
1,68316E+12;04/05/2023;28838.16
1,68307E+12;03/05/2023;29026.16
1,68299E+12;02/05/2023;28669.86
1,6829E+12;01/05/2023;28068.26
1,68281E+12;30/04/2023;29233.21
1,68273E+12;29/04/2023;29230.45
1,68264E+12;28/04/2023;29311.7
1,68255E+12;27/04/2023;29472.77
1,68247E+12;26/04/2023;28415.29
1,68238E+12;25/04/2023;28300.79
1,68229E+12;24/04/2023;27510.93
