district;neighborhood;rooms;area_m2;lift;prices;compra;eurometro
Gràcia;el Coll;3;252;0;230000;0;912
Nou Barris;la Prosperitat;2;53;0;49000;0;924
Nou Barris;Can Peguera;3;160;0;150000;0;937
Nou Barris;Verdun;4;130;0;130000;0;1000
Eixample;la Sagrada Família;4;350;0;390000;0;1114
Nou Barris;la Trinitat Nova;2;60;0;69000;0;1150
Nou Barris;la Prosperitat;1;74;0;87000;1;1175
Sants-Montjuïc;Sants - Badal;4;73;0;95000;0;1301
Sant Andreu;el Bon Pastor;7;200;0;279900;0;1399
Sant Martí;la Verneda i la Pau;4;150;1;219900;1;1466
Horta-Guinardó;Horta;5;330;0;490000;0;1484
Sant Martí;la Verneda i la Pau;4;131;1;199900;1;1525
Nou Barris;Ciutat Meridiana;4;127;1;200000;1;1574
Nou Barris;la Trinitat Nova;3;55;0;87000;0;1581
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;3;110;0;175000;0;1590
Sants-Montjuïc;Sants;3;150;0;239000;0;1593
Sants-Montjuïc;Sants;3;150;1;239000;1;1593
Sant Andreu;el Bon Pastor;3;75;1;120000;1;1600
Horta-Guinardó;la Font d'en Fargues;4;275;1;450000;1;1636
Nou Barris;la Trinitat Nova;2;76;0;125000;0;1644
Nou Barris;la Trinitat Nova;2;76;0;125000;0;1644
Nou Barris;les Roquetes;2;61;0;103000;0;1688
Nou Barris;la Trinitat Nova;3;104;0;176000;0;1692
Nou Barris;la Trinitat Nova;2;70;0;120000;0;1714
Horta-Guinardó;la Font d'en Fargues;6;174;0;299000;0;1718
Nou Barris;la Trinitat Nova;3;74;1;129999;1;1756
Sant Martí;la Verneda i la Pau;3;76;1;135000;1;1776
Ciutat Vella;el Raval;2;45;0;80000;0;1777
Horta-Guinardó;la Font d'en Fargues;3;145;0;259000;0;1786
Horta-Guinardó;el Carmel;2;75;0;135000;0;1800
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;3;86;1;155000;1;1802
Gràcia;Vallcarca i els Penitents;2;108;1;195000;1;1805
