district;neighborhood;condition;type;rooms;area_m2;floor;prices;lift;views
Eixample;la Dreta de l'Eixample;good condition;Flat;3;351; floor 1;2300000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;298; floor 3;1750000;Yes;exterior
Eixample;Sant Antoni;good condition;Penthouse;2;90; floor 7;590000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;2;130; floor 1;450000;Yes;exterior
Horta-Guinardó;Can Baró;good condition;Terraced;3;110;Multiple;430000;No;exterior
Eixample;el Fort Pienc;good condition;Penthouse;5;161; floor 7;690000;Yes;exterior
Eixample;la Sagrada Família;good condition;Duplex;2;110; floor 1;395000;No;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;106; floor 1;595000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;2;62; floor 5;450000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;5;152; floor 5;665000;Yes;exterior
Horta-Guinardó;el Guinardó;good condition;Flat;3;83; floor 2;270000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;80; floor 1;690000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;80; floor 3;630000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;132; floor 1;790000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;1;41; floor 1;177000;No;exterior
Les Corts;les Corts;good condition;Flat;2;80; floor 1;375000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;5;170; floor 3;950000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;3;110; floor 8;800000;Yes;exterior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;3;65; floor 1;169000;No;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;194; floor 2;840000;Yes;exterior
Gràcia;la Vila de Gràcia;good condition;Flat;3;79;ground floor;329000;No;exterior
Sant Martí;el Poblenou;good condition;Flat;3;168; floor 25;1090000;Yes;exterior
Sant Andreu;el Congrés i els Indians;good condition;Flat;2;64; floor 1;185000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;good condition;Flat;3;130;mezzanine;695000;Yes;exterior
Sant Martí;la Vila Olímpica del Poblenou;good condition;Flat;3;111; floor 4;586000;Yes;exterior
Sant Martí;Sant Martí de Provençals;good condition;Flat;4;83; floor 3;239000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;3;120; floor 6;790000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;5;181; floor 2;995000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;4;94; floor 1;420000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;3;195; floor 3;640000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Penthouse;2;108; floor 6;649000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;169; floor 1;775000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;4;93; floor 6;340000;Yes;exterior
Eixample;Sant Antoni;good condition;Flat;4;140; floor 5;495000;Yes;exterior
Sant Martí;el Camp de l'Arpa del Clot;good condition;Flat;4;102; floor 3;345000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;174; floor 1;950000;Yes;exterior
Sants-Montjuïc;la Bordeta;good condition;Detached;4;239;Multiple;690000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;3;153; floor 9;1495000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;3;144; floor 1;650000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;4;124; floor 3;530000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;115; floor 2;660000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;131; floor 6;560000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Duplex;2;100; floor 5;800000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;115; floor 3;990000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;277; floor 5;1900000;Yes;exterior
Gràcia;el Camp d'en Grassot i Gràcia Nova;good condition;Flat;3;104; floor 1;470000;Yes;exterior
Sant Martí;el Poblenou;good condition;Flat;2;71; floor 2;370000;Yes;interior
Sants-Montjuïc;el Poble Sec - AEI Parc de Montjuïc;good condition;Flat;4;228;ground floor;650000;Yes;interior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;160; floor 7;880000;Yes;exterior
Sarrià-Sant Gervasi;Sarrià;good condition;House;5;380;Multiple;1750000;No;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Detached;6;585;Multiple;2350000;No;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;7;271; floor 1;1800000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;82; floor 3;380000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;175; floor 4;1600000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Flat;2;84; floor 3;475000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;1;63; floor 1;335000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Penthouse;4;189; floor 7;1175000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;3;150;ground floor;780000;Yes;exterior
Horta-Guinardó;el Carmel;good condition;Flat;3;50;mezzanine;135000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Penthouse;3;130; floor 9;530000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Duplex;3;223; floor 8;1995000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Duplex;3;153; floor 8;1495000;Yes;exterior
Eixample;la Sagrada Família;good condition;Flat;3;85; floor 2;339000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;160; floor 4;850000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;2;120; floor 3;575000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;4;206; floor 11;1250000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;good condition;Flat;4;232; floor 2;1175000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;4;203; floor 1;1095000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;1;59; floor 4;480000;Yes;exterior
Eixample;Sant Antoni;good condition;Penthouse;4;167; floor 6;695000;Yes;exterior
Les Corts;Pedralbes;good condition;Flat;5;232; floor 2;1660000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Duplex;4;800;ground floor;1700000;Yes;exterior
Ciutat Vella;Sant Pere - Santa Caterina i la Ribera;good condition;Flat;2;86;ground floor;298000;No;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Flat;4;105; floor 2;425000;Yes;exterior
Ciutat Vella;el Raval;good condition;Flat;3;145; floor 1;680000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;155; floor 4;875000;Yes;exterior
Eixample;la Dreta de l'Eixample;good condition;Flat;3;148; floor 3;995000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;4;102; floor 3;440000;Yes;exterior
Sarrià-Sant Gervasi;Sant Gervasi - Galvany;good condition;Flat;5;250; floor 2;1100000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;2;101; floor 3;625000;Yes;exterior
Les Corts;la Maternitat i Sant Ramon;good condition;Flat;3;100; floor 2;385000;Yes;exterior
Ciutat Vella;el Barri Gòtic;good condition;Penthouse;2;88; floor 4;710000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;1;77; floor 1;260000;Yes;exterior
Eixample;la Nova Esquerra de l'Eixample;good condition;Flat;3;87; floor 5;399000;Yes;exterior
Sant Martí;el Clot;good condition;Flat;1;60; floor 1;179000;Yes;exterior
Sarrià-Sant Gervasi;Vallvidrera - el Tibidabo i les Planes;good condition;Detached;4;243;Multiple;650000;No;exterior
Eixample;el Fort Pienc;good condition;Flat;3;118; floor 2;445000;Yes;exterior
Sarrià-Sant Gervasi;el Putxet i el Farró;good condition;Semi-detached;5;311;Multiple;960000;No;exterior
Sarrià-Sant Gervasi;les Tres Torres;good condition;Flat;3;118; floor 2;795000;Yes;exterior
Eixample;l'Antiga Esquerra de l'Eixample;good condition;Flat;3;72; floor 5;450000;Yes;exterior
